~id, ~from, ~to, ~label, weight:Int
e437, p22, t219, ok boomer, 5
e438, t219, p22, ok boomer, 5
e439, p22, t220, ok boomer, 5
e440, t220, p22, ok boomer, 5
e441, p23, t221, ok boomer, 25
e442, t221, p23, ok boomer, 25
e443, p23, t222, ok boomer, 25
e444, t222, p23, ok boomer, 25
e445, p23, t223, ok boomer, 25
e446, t223, p23, ok boomer, 25
e447, p23, t224, ok boomer, 25
e448, t224, p23, ok boomer, 25
e449, p23, t225, ok boomer, 25
e450, t225, p23, ok boomer, 25
e451, p23, t226, ok boomer, 25
e452, t226, p23, ok boomer, 25
e453, p23, t227, ok boomer, 25
e454, t227, p23, ok boomer, 25
e455, p23, t228, ok boomer, 25
e456, t228, p23, ok boomer, 25
e457, p23, t229, ok boomer, 25
e458, t229, p23, ok boomer, 25
e459, p23, t154, ok boomer, 25
e460, t154, p23, ok boomer, 25
e461, p24, t231, ok boomer, 22
e462, t231, p24, ok boomer, 22
e463, p24, t232, ok boomer, 20
e464, t232, p24, ok boomer, 20
e465, p24, t233, ok boomer, 16
e466, t233, p24, ok boomer, 16
e467, p24, t234, ok boomer, 15
e468, t234, p24, ok boomer, 15
e469, p24, t235, ok boomer, 10
e470, t235, p24, ok boomer, 10
e471, p24, t236, ok boomer, 9
e472, t236, p24, ok boomer, 9
e473, p24, t237, ok boomer, 6
e474, t237, p24, ok boomer, 6
e475, p24, t238, ok boomer, 6
e476, t238, p24, ok boomer, 6
e477, p24, t239, ok boomer, 6
e478, t239, p24, ok boomer, 6
e479, p24, t240, ok boomer, 5
e480, t240, p24, ok boomer, 5
e481, p25, t241, ok boomer, 25
e482, t241, p25, ok boomer, 25
e483, p25, t147, ok boomer, 25
e484, t147, p25, ok boomer, 25
e485, p25, t150, ok boomer, 23
e486, t150, p25, ok boomer, 23
e487, p25, t244, ok boomer, 22
e488, t244, p25, ok boomer, 22
e489, p25, t245, ok boomer, 18
e490, t245, p25, ok boomer, 18
e491, p25, t246, ok boomer, 15
e492, t246, p25, ok boomer, 15
e493, p25, t247, ok boomer, 14
e494, t247, p25, ok boomer, 14
e495, p25, t248, ok boomer, 12
e496, t248, p25, ok boomer, 12
e497, p25, t249, ok boomer, 8
e498, t249, p25, ok boomer, 8
e499, p25, t250, ok boomer, 8
e500, t250, p25, ok boomer, 8
e501, p26, t251, ok boomer, 25
e502, t251, p26, ok boomer, 25
e503, p26, t252, ok boomer, 25
e504, t252, p26, ok boomer, 25
e505, p26, t253, ok boomer, 25
e506, t253, p26, ok boomer, 25
e507, p26, t254, ok boomer, 25
e508, t254, p26, ok boomer, 25
e509, p26, t255, ok boomer, 23
e510, t255, p26, ok boomer, 23
e511, p26, t256, ok boomer, 23
e512, t256, p26, ok boomer, 23
e513, p26, t257, ok boomer, 22
e514, t257, p26, ok boomer, 22
e515, p26, t258, ok boomer, 22
e516, t258, p26, ok boomer, 22
e517, p26, t259, ok boomer, 21
e518, t259, p26, ok boomer, 21
e519, p26, t260, ok boomer, 12
e520, t260, p26, ok boomer, 12
e521, p27, t261, ok boomer, 22
e522, t261, p27, ok boomer, 22
e523, p27, t262, ok boomer, 9
e524, t262, p27, ok boomer, 9
e525, p27, t263, ok boomer, 8
e526, t263, p27, ok boomer, 8
e527, p27, t264, ok boomer, 8
e528, t264, p27, ok boomer, 8
e529, p27, t265, ok boomer, 8
e530, t265, p27, ok boomer, 8
e531, p27, t266, ok boomer, 6
e532, t266, p27, ok boomer, 6
e533, p27, t267, ok boomer, 6
e534, t267, p27, ok boomer, 6
e535, p27, t268, ok boomer, 6
e536, t268, p27, ok boomer, 6
e537, p27, t269, ok boomer, 6
e538, t269, p27, ok boomer, 6
e539, p27, t270, ok boomer, 6
e540, t270, p27, ok boomer, 6
e541, p28, t271, ok boomer, 16
e542, t271, p28, ok boomer, 16
e543, p28, t272, ok boomer, 13
e544, t272, p28, ok boomer, 13
e545, p28, t273, ok boomer, 13
e546, t273, p28, ok boomer, 13
e547, p28, t274, ok boomer, 12
e548, t274, p28, ok boomer, 12
e549, p28, t275, ok boomer, 10
e550, t275, p28, ok boomer, 10
e551, p28, t276, ok boomer, 9
e552, t276, p28, ok boomer, 9
e553, p28, t277, ok boomer, 9
e554, t277, p28, ok boomer, 9
e555, p28, t278, ok boomer, 9
e556, t278, p28, ok boomer, 9
e557, p28, t279, ok boomer, 8
e558, t279, p28, ok boomer, 8
e559, p28, t280, ok boomer, 8
e560, t280, p28, ok boomer, 8
e561, p29, t281, ok boomer, 23
e562, t281, p29, ok boomer, 23
e563, p29, t282, ok boomer, 23
e564, t282, p29, ok boomer, 23
e565, p29, t283, ok boomer, 18
e566, t283, p29, ok boomer, 18
e567, p29, t284, ok boomer, 16
e568, t284, p29, ok boomer, 16
e569, p29, t285, ok boomer, 16
e570, t285, p29, ok boomer, 16
e571, p29, t286, ok boomer, 14
e572, t286, p29, ok boomer, 14
e573, p29, t287, ok boomer, 5
e574, t287, p29, ok boomer, 5
e575, p29, t288, ok boomer, 4
e576, t288, p29, ok boomer, 4
e577, p29, t289, ok boomer, 4
e578, t289, p29, ok boomer, 4
e579, p29, t290, ok boomer, 3
e580, t290, p29, ok boomer, 3
e581, p30, t291, ok boomer, 14
e582, t291, p30, ok boomer, 14
e583, p30, t292, ok boomer, 12
e584, t292, p30, ok boomer, 12
e585, p30, t293, ok boomer, 12
e586, t293, p30, ok boomer, 12
e587, p30, t18, ok boomer, 12
e588, t18, p30, ok boomer, 12
e589, p30, t295, ok boomer, 10
e590, t295, p30, ok boomer, 10
e591, p30, t296, ok boomer, 9
e592, t296, p30, ok boomer, 9
e593, p30, t297, ok boomer, 8
e594, t297, p30, ok boomer, 8
e595, p30, t298, ok boomer, 8
e596, t298, p30, ok boomer, 8
e597, p30, t299, ok boomer, 8
e598, t299, p30, ok boomer, 8
e599, p30, t11, ok boomer, 7
e600, t11, p30, ok boomer, 7
e601, p31, t244, ok boomer, 25
e602, t244, p31, ok boomer, 25
e603, p31, t147, ok boomer, 25
e604, t147, p31, ok boomer, 25
e605, p31, t303, ok boomer, 25
e606, t303, p31, ok boomer, 25
e607, p31, t304, ok boomer, 25
e608, t304, p31, ok boomer, 25
e609, p31, t305, ok boomer, 25
e610, t305, p31, ok boomer, 25
e611, p31, t306, ok boomer, 25
e612, t306, p31, ok boomer, 25
e613, p31, t307, ok boomer, 25
e614, t307, p31, ok boomer, 25
e615, p31, t308, ok boomer, 25
e616, t308, p31, ok boomer, 25
e617, p31, t309, ok boomer, 25
e618, t309, p31, ok boomer, 25
e619, p31, t150, ok boomer, 25
e620, t150, p31, ok boomer, 25
e621, p32, t311, ok boomer, 22
e622, t311, p32, ok boomer, 22
e623, p32, t312, ok boomer, 7
e624, t312, p32, ok boomer, 7
e625, p32, t313, ok boomer, 5
e626, t313, p32, ok boomer, 5
e627, p32, t314, ok boomer, 3
e628, t314, p32, ok boomer, 3
e629, p32, t315, ok boomer, 2
e630, t315, p32, ok boomer, 2
e631, p32, t316, ok boomer, 2
e632, t316, p32, ok boomer, 2
e633, p32, t317, ok boomer, 2
e634, t317, p32, ok boomer, 2
e635, p32, t318, ok boomer, 2
e636, t318, p32, ok boomer, 2
e637, p32, t319, ok boomer, 2
e638, t319, p32, ok boomer, 2
e639, p32, t320, ok boomer, 2
e640, t320, p32, ok boomer, 2
e641, p33, t321, ok boomer, 4
e642, t321, p33, ok boomer, 4
e643, p33, t322, ok boomer, 4
e644, t322, p33, ok boomer, 4
e645, p33, t323, ok boomer, 2
e646, t323, p33, ok boomer, 2
e647, p33, t324, ok boomer, 2
e648, t324, p33, ok boomer, 2
e649, p33, t325, ok boomer, 1
e650, t325, p33, ok boomer, 1
e651, p33, t326, ok boomer, 1
e652, t326, p33, ok boomer, 1
e653, p33, t327, ok boomer, 1
e654, t327, p33, ok boomer, 1
e655, p33, t328, ok boomer, 1
e656, t328, p33, ok boomer, 1
e657, p33, t329, ok boomer, 1
e658, t329, p33, ok boomer, 1
e659, p33, t330, ok boomer, 1
e660, t330, p33, ok boomer, 1
e661, p34, t331, ok boomer, 3
e662, t331, p34, ok boomer, 3
e663, p34, t332, ok boomer, 3
e664, t332, p34, ok boomer, 3
e665, p34, t333, ok boomer, 3
e666, t333, p34, ok boomer, 3
e667, p34, t334, ok boomer, 3
e668, t334, p34, ok boomer, 3
e669, p34, t335, ok boomer, 3
e670, t335, p34, ok boomer, 3
e671, p34, t336, ok boomer, 2
e672, t336, p34, ok boomer, 2
e673, p34, t337, ok boomer, 2
e674, t337, p34, ok boomer, 2
e675, p34, t338, ok boomer, 2
e676, t338, p34, ok boomer, 2
e677, p34, t339, ok boomer, 2
e678, t339, p34, ok boomer, 2
e679, p34, t340, ok boomer, 2
e680, t340, p34, ok boomer, 2
e681, p35, t341, ok boomer, 8
e682, t341, p35, ok boomer, 8
e683, p35, t342, ok boomer, 8
e684, t342, p35, ok boomer, 8
e685, p35, t343, ok boomer, 7
e686, t343, p35, ok boomer, 7
e687, p35, t344, ok boomer, 5
e688, t344, p35, ok boomer, 5
e689, p35, t345, ok boomer, 5
e690, t345, p35, ok boomer, 5
e691, p35, t346, ok boomer, 4
e692, t346, p35, ok boomer, 4
e693, p35, t347, ok boomer, 4
e694, t347, p35, ok boomer, 4
e695, p35, t348, ok boomer, 3
e696, t348, p35, ok boomer, 3
e697, p35, t349, ok boomer, 2
e698, t349, p35, ok boomer, 2
e699, p35, t350, ok boomer, 2
e700, t350, p35, ok boomer, 2
e701, p36, t351, ok boomer, 25
e702, t351, p36, ok boomer, 25
e703, p36, t352, ok boomer, 25
e704, t352, p36, ok boomer, 25
e705, p36, t353, ok boomer, 25
e706, t353, p36, ok boomer, 25
e707, p36, t354, ok boomer, 25
e708, t354, p36, ok boomer, 25
e709, p36, t355, ok boomer, 25
e710, t355, p36, ok boomer, 25
e711, p36, t356, ok boomer, 25
e712, t356, p36, ok boomer, 25
e713, p36, t357, ok boomer, 25
e714, t357, p36, ok boomer, 25
e715, p36, t358, ok boomer, 25
e716, t358, p36, ok boomer, 25
e717, p36, t359, ok boomer, 25
e718, t359, p36, ok boomer, 25
e719, p36, t360, ok boomer, 25
e720, t360, p36, ok boomer, 25
e721, p37, t361, ok boomer, 7
e722, t361, p37, ok boomer, 7
e723, p37, t362, ok boomer, 7
e724, t362, p37, ok boomer, 7
e725, p37, t363, ok boomer, 7
e726, t363, p37, ok boomer, 7
e727, p37, t364, ok boomer, 7
e728, t364, p37, ok boomer, 7
e729, p37, t365, ok boomer, 7
e730, t365, p37, ok boomer, 7
e731, p37, t366, ok boomer, 6
e732, t366, p37, ok boomer, 6
e733, p37, t367, ok boomer, 5
e734, t367, p37, ok boomer, 5
e735, p37, t368, ok boomer, 5
e736, t368, p37, ok boomer, 5
e737, p37, t369, ok boomer, 5
e738, t369, p37, ok boomer, 5
e739, p37, t370, ok boomer, 4
e740, t370, p37, ok boomer, 4
e741, p38, t371, ok boomer, 15
e742, t371, p38, ok boomer, 15
e743, p38, t343, ok boomer, 13
e744, t343, p38, ok boomer, 13
e745, p38, t373, ok boomer, 3
e746, t373, p38, ok boomer, 3
e747, p38, t374, ok boomer, 3
e748, t374, p38, ok boomer, 3
e749, p38, t375, ok boomer, 2
e750, t375, p38, ok boomer, 2
e751, p38, t376, ok boomer, 1
e752, t376, p38, ok boomer, 1
e753, p38, t377, ok boomer, 1
e754, t377, p38, ok boomer, 1
e755, p38, t378, ok boomer, 1
e756, t378, p38, ok boomer, 1
e757, p38, t379, ok boomer, 1
e758, t379, p38, ok boomer, 1
e759, p38, t380, ok boomer, 1
e760, t380, p38, ok boomer, 1
e761, p39, t381, ok boomer, 5
e762, t381, p39, ok boomer, 5
e763, p39, t382, ok boomer, 5
e764, t382, p39, ok boomer, 5
e765, p39, t29, ok boomer, 5
e766, t29, p39, ok boomer, 5
e767, p39, t384, ok boomer, 4
e768, t384, p39, ok boomer, 4
e769, p39, t385, ok boomer, 4
e770, t385, p39, ok boomer, 4
e771, p39, t386, ok boomer, 4
e772, t386, p39, ok boomer, 4
e773, p39, t387, ok boomer, 4
e774, t387, p39, ok boomer, 4
e775, p39, t388, ok boomer, 3
